id,text
50,idk what 2 do... soooo bored rn!!! 😒😒
51,"LOL, u r the best!! 😂 <div>Gr8 job!</div>"
52,smh... y'all r crazy. tbh I can't even rn 🤷‍♂️
53,"yo, dat app iz dope af!! 🔥🔥🔥 visit app.site"
54,"Ths is amazin, can't w8 2 see more! visit www.fakeurl.com"
55,ikr!!! u always kno how 2 cheer me up 🥲❤️
56,wanna go out 2nite?? hmu @ 8 😉💃
57,ikr!!! u always kno how 2 cheer me up 🥲❤️
58,wanna go out 2nite?? hmu @ 8 😉💃
59,"Imho, this sux... totally not kewl!! 😑 #fail"
60,wanna go out 2nite?? hmu @ 8 😉💃
61,wanna go out 2nite?? hmu @ 8 😉💃
62,OMG! I <b>luv</b> this!!! 😂😂 Check this out: https://example.com
63,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
64,"LOL, u r the best!! 😂 <div>Gr8 job!</div>"
65,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
66,idk what 2 do... soooo bored rn!!! 😒😒
67,dis app iz buggin out 😩 gonna uninstall... asap
68,that movie wuz da bomb!! <i>totally lit</i> 🔥🔥
69,"Ths is amazin, can't w8 2 see more! visit www.fakeurl.com"
70,that movie wuz da bomb!! <i>totally lit</i> 🔥🔥
71,can't w8 4 vacay!! 3 more daysss 😍🏖️
72,"Imho, this sux... totally not kewl!! 😑 #fail"
73,"yo, dat app iz dope af!! 🔥🔥🔥 visit app.site"
74,idk what 2 do... soooo bored rn!!! 😒😒
75,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
76,OMG! I <b>luv</b> this!!! 😂😂 Check this out: https://example.com
77,OMG! I <b>luv</b> this!!! 😂😂 Check this out: https://example.com
78,dis app iz buggin out 😩 gonna uninstall... asap
79,dis app iz buggin out 😩 gonna uninstall... asap
80,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
81,ikr!!! u always kno how 2 cheer me up 🥲❤️
82,that movie wuz da bomb!! <i>totally lit</i> 🔥🔥
83,"yo, dat app iz dope af!! 🔥🔥🔥 visit app.site"
84,"LOL, u r the best!! 😂 <div>Gr8 job!</div>"
85,I c u got skillz 😎 check this: <a href='https://coolstuff.com'>coolstuff.com</a>
86,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
87,OMG! I <b>luv</b> this!!! 😂😂 Check this out: https://example.com
88,smh... y'all r crazy. tbh I can't even rn 🤷‍♂️
89,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
90,"Ths is amazin, can't w8 2 see more! visit www.fakeurl.com"
91,"gr8 wrk on ur prjct, btw!! 🚀🚀 see ya soon!"
92,"Imho, this sux... totally not kewl!! 😑 #fail"
93,idk what 2 do... soooo bored rn!!! 😒😒
94,I c u got skillz 😎 check this: <a href='https://coolstuff.com'>coolstuff.com</a>
95,ikr!!! u always kno how 2 cheer me up 🥲❤️
96,"LOL, u r the best!! 😂 <div>Gr8 job!</div>"
97,can't w8 4 vacay!! 3 more daysss 😍🏖️
98,"rly enjoyed the party last nite, thx 4 the invite!! 😊🎉"
99,that movie wuz da bomb!! <i>totally lit</i> 🔥🔥
100,smh... y'all r crazy. tbh I can't even rn 🤷‍♂️
